timestamp,Latitude,Longitude,ax,ay,az
1708513110.3,10.87643814,106.8012848,-1.97,0.54,7.64
1708513110.45,10.87643814,106.8012848,-0.86,-0.17,9.23
1708513110.63,10.87643814,106.8012848,-2.21,0.67,11.06
1708513110.71,10.87643814,106.8012848,0.09,-0.92,10.01
1708513110.8,10.87643814,106.8012848,-3.08,-1.33,9.43
1708513110.89,10.87644005,106.8013382,-1.81,0.44,9.7
1708513111.29,10.87644005,106.8013382,-1.22,0.39,9.73
1708513111.46,10.87644005,106.8013382,-1.86,0.83,9.59
1708513111.62,10.87644005,106.8013382,-2.86,-0.27,10.13
1708513111.71,10.87644005,106.8013382,-2.02,-0.08,10.67
1708513111.8,10.87644005,106.8013382,-1.19,0.87,9.47
1708513111.87,10.87643147,106.801384,-2.21,-0.09,10.47
1708513112.3,10.87643147,106.801384,-1.94,-0.31,13.81
1708513112.45,10.87643147,106.801384,-0.17,0.95,9.66
1708513112.61,10.87643147,106.801384,-3.53,-0.24,6.99
1708513112.69,10.87643147,106.801384,-2.76,-0.8,9.8
1708513112.79,10.87643147,106.801384,-5.69,-1.97,5.52
1708513112.87,10.87641335,106.8014297,-1.1,0.48,10.0
1708513113.29,10.87641335,106.8014297,-0.09,0.94,16.32
1708513113.44,10.87641335,106.8014297,-5.63,-4.14,-1.64
1708513113.63,10.87641335,106.8014297,1.83,1.25,32.57
1708513113.7,10.87641335,106.8014297,-1.64,0.13,9.73
1708513113.79,10.87641335,106.8014297,-1.17,0.21,9.46
1708513113.87,10.87639999,106.8014832,-1.16,-0.61,10.98
1708513114.3,10.87639999,106.8014832,-1.56,0.61,9.85
1708513114.44,10.87639999,106.8014832,-2.39,-0.04,10.62
1708513114.63,10.87639999,106.8014832,-2.32,0.11,9.32
1708513114.71,10.87639999,106.8014832,-2.19,-0.26,10.53
1708513114.8,10.87639999,106.8014832,-2.25,-0.91,10.86
1708513114.88,10.87637615,106.8015137,-1.4,-0.28,9.64
1708513115.3,10.87637615,106.8015137,-1.28,-0.66,10.79
1708513115.44,10.87637615,106.8015137,-1.51,-0.57,13.78
1708513115.63,10.87637615,106.8015137,-6.25,-2.97,3.62
1708513115.71,10.87637615,106.8015137,1.69,-0.33,6.87
1708513115.79,10.87637615,106.8015137,-0.17,-0.35,10.04
1708513115.87,10.87634468,106.8015289,-1.06,0.43,9.26
1708513116.3,10.87634468,106.8015289,1.34,-0.2,15.21
1708513116.43,10.87634468,106.8015289,1.32,0.36,9.15
1708513116.62,10.87634468,106.8015289,-0.09,-0.86,13.49
1708513116.71,10.87634468,106.8015289,-0.56,-0.68,10.82
1708513116.78,10.87634468,106.8015289,-0.17,0.34,8.91
1708513116.86,10.87631512,106.8015518,2.79,0.06,11.42
1708513117.3,10.87631512,106.8015518,1.25,-0.47,3.34
1708513117.44,10.87631512,106.8015518,-0.6,-0.31,4.51
1708513117.63,10.87631512,106.8015518,1.65,1.71,12.96
1708513117.69,10.87631512,106.8015518,1.46,0.86,7.46
1708513117.79,10.87631512,106.8015518,-4.93,-3.54,8.37
1708513117.87,10.87627697,106.8015671,0.22,-0.64,8.69
1708513118.3,10.87627697,106.8015671,-0.46,0.68,9.97
1708513118.43,10.87627697,106.8015671,0.11,1.3,11.14
1708513118.63,10.87627697,106.8015671,-0.25,-1.92,7.36
1708513118.71,10.87627697,106.8015671,-1.88,-0.37,9.02
1708513118.79,10.87627697,106.8015671,-1.14,0.58,9.91
1708513118.87,10.87624168,106.8015747,0.0,-0.2,8.59
1708513119.3,10.87624168,106.8015747,0.06,-0.72,11.84
1708513119.42,10.87624168,106.8015747,-0.56,-0.75,7.15
1708513119.62,10.87624168,106.8015747,2.6,0.51,19.1
1708513119.7,10.87624168,106.8015747,0.29,-1.21,10.13
1708513119.78,10.87624168,106.8015747,-1.23,0.13,11.49
